dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
year,2013,27,0.08629608221214913,4.11,B,0,3,catboost
year,2014,45,0.07297342501788884,8.11,B,0,3,catboost
year,2015,31,0.049689843948072215,15.09,B,0,3,catboost
year,2016,21,0.04818976666798637,15.54,B,0,3,catboost
year,2017,96,0.057757103611801,12.67,B,0,3,catboost
year,2018,64,0.06975037414659542,9.07,B,0,3,catboost
year,2019,133,0.0626322008490572,11.21,B,0,3,catboost
year,2020,153,0.06702408151741333,9.89,B,0,3,catboost
year,2021,144,0.093296792280672,2.01,B,0,3,catboost
year,2022,129,0.05836114142139021,12.49,B,0,3,catboost
year,2023,131,0.06369504485965842,10.89,B,0,3,catboost
year,2024,138,0.055450248167940544,13.36,B,0,3,catboost
confidence_bin,low,12,0.03943608264578689,18.17,B,0,3,catboost
confidence_bin,medium,379,0.06653270583115445,10.04,B,0,3,catboost
confidence_bin,high,809,0.06823655795071439,9.53,B,0,3,catboost
overall,all,1200,0.08290624806130521,5.13,B,0,4,catboost
seen_polygon,False,1200,0.08290624806130521,5.13,B,0,4,catboost
crop_type,зерновые,299,0.060868190976154736,11.74,B,0,4,catboost
crop_type,озимая пшеница,821,0.09023121021183882,2.93,B,0,4,catboost
crop_type,подсолнечник,80,0.07550223189800702,7.35,B,0,4,catboost
source_label,landsat,498,0.06723421580558758,9.83,B,0,4,catboost
source_label,modis,211,0.08705271578607189,3.88,B,0,4,catboost
source_label,s2,491,0.09464222650367034,1.61,B,0,4,catboost
gap_length,1,871,0.08245122434323052,5.26,B,0,4,catboost
gap_length,2,266,0.08719372361630867,3.84,B,0,4,catboost
gap_length,3,54,0.06201754493370616,11.39,B,0,4,catboost
gap_length,4,4,0.12136942450391457,0.0,B,0,4,catboost
gap_length,5,5,0.08712427862045057,3.86,B,0,4,catboost
left_distance_bin,0-7,973,0.07827612218712246,6.52,B,0,4,catboost
left_distance_bin,16-30,29,0.07166700621904908,8.5,B,0,4,catboost
left_distance_bin,31+,30,0.1854976473255325,0.0,B,0,4,catboost
left_distance_bin,8-15,166,0.08066510544675969,5.8,B,0,4,catboost
left_distance_bin,none,2,0.11191148257962887,0.0,B,0,4,catboost
right_distance_bin,0-7,1001,0.08535932227176558,4.39,B,0,4,catboost
right_distance_bin,16-30,33,0.07444983286960379,7.67,B,0,4,catboost
right_distance_bin,31+,12,0.08034008718874311,5.9,B,0,4,catboost
right_distance_bin,8-15,154,0.06714343204784276,9.86,B,0,4,catboost
year,2010,30,0.06197275771304737,11.41,B,0,4,catboost
year,2011,33,0.059882357629968914,12.04,B,0,4,catboost
year,2012,26,0.07233622619448835,8.3,B,0,4,catboost
year,2013,38,0.053120309554952436,14.06,B,0,4,catboost
year,2014,35,0.04600130646738012,16.2,B,0,4,catboost
year,2015,34,0.06507139930870699,10.48,B,0,4,catboost
year,2016,29,0.06994302986554962,9.02,B,0,4,catboost
year,2017,95,0.07706617902847014,6.88,B,0,4,catboost
year,2018,82,0.1083006761103664,0.0,B,0,4,catboost
year,2019,128,0.0903339434486507,2.9,B,0,4,catboost
year,2020,152,0.0625914028050489,11.22,B,0,4,catboost
year,2021,116,0.10859761064730732,0.0,B,0,4,catboost
year,2022,129,0.08800820744073362,3.6,B,0,4,catboost
year,2023,151,0.08672638290008865,3.98,B,0,4,catboost
year,2024,122,0.07801148198826371,6.6,B,0,4,catboost
confidence_bin,low,12,0.1415434729562618,0.0,B,0,4,catboost
confidence_bin,medium,381,0.08971210377777843,3.09,B,0,4,catboost
confidence_bin,high,807,0.07825016952930455,6.52,B,0,4,catboost
overall,all,1200,0.24660626788737033,0.0,C,0,0,catboost
seen_polygon,True,1200,0.24660626788737033,0.0,C,0,0,catboost
crop_type,зерновые,310,0.19740647172818684,0.0,C,0,0,catboost
