dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
source_label,landsat,499,0.09487244083944192,1.54,A,1,0,nearest_left
source_label,modis,180,0.1511507385067753,0.0,A,1,0,nearest_left
source_label,s2,521,0.1105828252323942,0.0,A,1,0,nearest_left
gap_length,1,851,0.10599361678708961,0.0,A,1,0,nearest_left
gap_length,2,272,0.1174652111187508,0.0,A,1,0,nearest_left
gap_length,3,54,0.16307430072577284,0.0,A,1,0,nearest_left
gap_length,4,8,0.0580160421337645,12.6,A,1,0,nearest_left
gap_length,5,15,0.11492770107835178,0.0,A,1,0,nearest_left
left_distance_bin,0-7,994,0.10553215943848078,0.0,A,1,0,nearest_left
left_distance_bin,16-30,34,0.13041740532084337,0.0,A,1,0,nearest_left
left_distance_bin,31+,20,0.20103859829939907,0.0,A,1,0,nearest_left
left_distance_bin,8-15,152,0.12870834206405637,0.0,A,1,0,nearest_left
right_distance_bin,0-7,1003,0.11069996076414734,0.0,A,1,0,nearest_left
right_distance_bin,16-30,26,0.1424632888140909,0.0,A,1,0,nearest_left
right_distance_bin,31+,22,0.08604205814347012,4.19,A,1,0,nearest_left
right_distance_bin,8-15,148,0.11596418055346776,0.0,A,1,0,nearest_left
right_distance_bin,none,1,0.052755399395973734,14.17,A,1,0,nearest_left
year,2010,30,0.08907385997022861,3.28,A,1,0,nearest_left
year,2011,31,0.11619078965146032,0.0,A,1,0,nearest_left
year,2012,20,0.13052739359686402,0.0,A,1,0,nearest_left
year,2013,43,0.1250252523442958,0.0,A,1,0,nearest_left
year,2014,43,0.08230954132111154,5.31,A,1,0,nearest_left
year,2015,23,0.07944312530306376,6.17,A,1,0,nearest_left
year,2016,23,0.10721045923838102,0.0,A,1,0,nearest_left
year,2017,90,0.12899370083187678,0.0,A,1,0,nearest_left
year,2018,88,0.09934912849359012,0.2,A,1,0,nearest_left
year,2019,139,0.1338827258489448,0.0,A,1,0,nearest_left
year,2020,146,0.09587240549479979,1.24,A,1,0,nearest_left
year,2021,132,0.14968909643430808,0.0,A,1,0,nearest_left
year,2022,131,0.09602377466198697,1.19,A,1,0,nearest_left
year,2023,124,0.09736641457985667,0.79,A,1,0,nearest_left
year,2024,137,0.08812035907616424,3.56,A,1,0,nearest_left
confidence_bin,low,98,0.09675277228235285,0.97,A,1,0,nearest_left
confidence_bin,medium,848,0.11287820378430949,0.0,A,1,0,nearest_left
confidence_bin,high,254,0.11316279124438931,0.0,A,1,0,nearest_left
overall,all,1200,0.11664999579919665,0.0,A,1,0,nearest_right
seen_polygon,False,1024,0.11840003881496802,0.0,A,1,0,nearest_right
seen_polygon,True,176,0.10589582606065123,0.0,A,1,0,nearest_right
crop_type,зерновые,221,0.09536903084203556,1.39,A,1,0,nearest_right
crop_type,озимая пшеница,814,0.12624710075371204,0.0,A,1,0,nearest_right
crop_type,пастбища/зерновые,127,0.07384118619040488,7.85,A,1,0,nearest_right
crop_type,подсолнечник,38,0.13102269773345657,0.0,A,1,0,nearest_right
source_label,landsat,499,0.11354827833683577,0.0,A,1,0,nearest_right
source_label,modis,180,0.1228012067192696,0.0,A,1,0,nearest_right
source_label,s2,521,0.11739763566498865,0.0,A,1,0,nearest_right
gap_length,1,851,0.1085009272225374,0.0,A,1,0,nearest_right
gap_length,2,272,0.11893390214644865,0.0,A,1,0,nearest_right
gap_length,3,54,0.17727928004758808,0.0,A,1,0,nearest_right
gap_length,4,8,0.29338214718533606,0.0,A,1,0,nearest_right
gap_length,5,15,0.071694706714779,8.49,A,1,0,nearest_right
left_distance_bin,0-7,994,0.1149131146346705,0.0,A,1,0,nearest_right
left_distance_bin,16-30,34,0.09427995912097145,1.72,A,1,0,nearest_right
left_distance_bin,31+,20,0.1636155908213638,0.0,A,1,0,nearest_right
left_distance_bin,8-15,152,0.12474328000234455,0.0,A,1,0,nearest_right
right_distance_bin,0-7,1003,0.10973381842703206,0.0,A,1,0,nearest_right
right_distance_bin,16-30,26,0.1724740265623358,0.0,A,1,0,nearest_right
right_distance_bin,31+,22,0.22813776576220612,0.0,A,1,0,nearest_right
right_distance_bin,8-15,148,0.125466352574712,0.0,A,1,0,nearest_right
right_distance_bin,none,1,0.052755399395973734,14.17,A,1,0,nearest_right
year,2010,30,0.09502059610264343,1.49,A,1,0,nearest_right
year,2011,31,0.10868560870723513,0.0,A,1,0,nearest_right
year,2012,20,0.16225635146304387,0.0,A,1,0,nearest_right
year,2013,43,0.1110037606239514,0.0,A,1,0,nearest_right
year,2014,43,0.09940301939360889,0.18,A,1,0,nearest_right
year,2015,23,0.18855433105834593,0.0,A,1,0,nearest_right
year,2016,23,0.10387203937282508,0.0,A,1,0,nearest_right
year,2017,90,0.11441487401693655,0.0,A,1,0,nearest_right
